Fecha,Localidad,lat,lon,Nubosidad,Humedad,Precipitacion,Zona
2024-10-03,USAQUEN,4.6882,-74.0298,43.0,59.0,0.0,Norte
2024-10-04,USAQUEN,4.6882,-74.0298,86.0,59.0,0.0,Norte
2024-10-05,USAQUEN,4.6882,-74.0298,40.0,56.0,0.59,Norte
2024-10-06,USAQUEN,4.6882,-74.0298,95.0,79.0,4.65,Norte
2024-10-07,USAQUEN,4.6882,-74.0298,99.0,69.0,0.47,Norte
2024-10-08,USAQUEN,4.6882,-74.0298,100.0,90.0,0.0,Norte
2024-10-09,USAQUEN,4.6882,-74.0298,100.0,77.0,1.02,Norte
2024-10-10,USAQUEN,4.6882,-74.0298,66.0,70.0,1.33,Norte
2024-10-11,USAQUEN,4.6882,-74.0298,75.0,43.0,0.0,Norte
2024-10-12,USAQUEN,4.6882,-74.0298,100.0,54.0,3.48,Norte
2024-10-13,USAQUEN,4.6882,-74.0298,73.0,58.0,0.29,Norte
2024-10-14,USAQUEN,4.6882,-74.0298,90.0,53.0,0.0,Norte
2024-10-15,USAQUEN,4.6882,-74.0298,98.0,62.0,0.0,Norte
2024-10-16,USAQUEN,4.6882,-74.0298,100.0,50.0,0.0,Norte
2024-10-17,USAQUEN,4.6882,-74.0298,7.0,36.0,0.0,Norte
2024-10-18,USAQUEN,4.6882,-74.0298,20.0,40.0,0.0,Norte
2024-10-19,USAQUEN,4.6882,-74.0298,87.0,50.0,0.0,Norte
2024-10-20,USAQUEN,4.6882,-74.0298,100.0,73.0,0.0,Norte
2024-10-21,USAQUEN,4.6882,-74.0298,87.0,74.0,2.33,Norte
2024-10-22,USAQUEN,4.6882,-74.0298,100.0,94.0,0.0,Norte
2024-10-23,USAQUEN,4.6882,-74.0298,76.0,53.0,0.0,Norte
2024-10-24,USAQUEN,4.6882,-74.0298,75.0,48.0,0.0,Norte
2024-10-25,USAQUEN,4.6882,-74.0298,96.0,34.0,0.0,Norte
2024-10-26,USAQUEN,4.6882,-74.0298,75.0,47.0,0.0,Norte
2024-10-27,USAQUEN,4.6882,-74.0298,75.0,88.0,0.12,Norte
2024-10-28,USAQUEN,4.6882,-74.0298,100.0,78.0,0.35,Norte
2024-10-29,USAQUEN,4.6882,-74.0298,75.0,45.0,0.0,Norte
2024-10-30,USAQUEN,4.6882,-74.0298,40.0,49.0,9.68,Norte
